"Banheiro","Banheiro","do banheiro","no banheiro"
"Quarto","Quarto","do quarto","do quarto do João","do quarto maior","no quarto","no quarto do João","no quarto maior","quarto do João","quarto maior"
"Quarto menor","Quarto menor","do quarto da Maria","do quarto menor","no quarto da Maria","no quarto menor","quarto da Maria"
"Sala de jantar","Sala de jantar","da sala de jantar","na sala de jantar"
"Cozinha","Cozinha","da cozinha","na cozinha"
"Sala de estar","Sala de estar","da sala","da sala de estar","na sala","na sala de estar","sala"
"Garagem","Garagem","da garagem","na garagem"
"Jardim","Jardim","do jardim","do quintal","no jardim","no quintal","quintal"
